Gender,State (Location), 10th percentage, 12th percentage,Difference,Degree of study,Specialization in study, College percentage,Age, English 1,English 2,English 3,English 4,Quantitative Ability 1,Quantitative Ability 2,Quantitative Ability 3,Quantitative Ability 4,Domain Skills 1,Domain Skills 2,Domain Test 3,Domain Test 4,Analytical Skills 1,Analytical Skills 2,Analytical Skills 3,Performance
A,A,85,90,2,X,B,74.01,13,39.62264151,61.78343949,63.63636364,59.50920245,37.70491803,58.08383234,59.77653631,57.22543353,8.928571429,53.95683453,42.06896552,32.84671533,32.72727273,63.29113924,19.54022989,BP
A,E,83,72.9,2,X,C,72.11,13,33.96226415,54.14012739,58.78787879,63.19018405,22.95081967,43.71257485,45.25139665,56.06936416,37.5,56.83453237,53.10344828,63.50364964,54.54545455,81.01265823,44.82758621,LP
B,A,93.6,97.25,2,X,C,83,13,83.01886792,88.53503185,87.87878788,86.50306748,50.81967213,72.45508982,66.48044693,76.87861272,41.07142857,74.10071942,65.51724138,59.12408759,72.72727273,93.67088608,70.11494253,BP
B,H,83.63,94.67,2,X,B,85.9,14,43.39622642,64.33121019,64.84848485,63.19018405,29.50819672,60.47904192,47.48603352,54.9132948,50,72.6618705,65.51724138,59.12408759,70.90909091,78.48101266,67.81609195,BP
A,A,84.63,83.75,2,X,K,76.78,13,49.05660377,69.42675159,63.63636364,69.32515337,52.45901639,49.7005988,64.24581006,75.72254335,44.64285714,79.85611511,53.10344828,54.74452555,61.81818182,53.16455696,70.11494253,LP
B,A,84.18,95.41,2,X,B,86.65,12,33.96226415,59.23566879,61.21212121,58.28220859,39.3442623,54.49101796,51.95530726,68.78612717,35.71428571,52.51798561,57.24137931,69.34306569,49.09090909,83.5443038,35.63218391,BP
A,A,83.64,92.58,2,X,L,81.7,12,47.16981132,71.97452229,56.36363636,66.87116564,54.09836066,55.68862275,67.59776536,60.69364162,30.35714286,51.07913669,46.20689655,60.58394161,54.54545455,50.63291139,60.91954023,BP
A,A,90.8,93.5,2,X,B,76.7,13,69.81132075,89.8089172,78.18181818,77.91411043,50.81967213,65.26946108,59.77653631,68.78612717,28.57142857,53.95683453,43.44827586,62.04379562,43.63636364,68.35443038,31.03448276,MP
A,A,87.4,91.67,2,X,B,78.76,13,75.47169811,88.53503185,68.48484848,82.82208589,55.73770492,79.64071856,72.06703911,81.50289017,53.57142857,76.97841727,61.37931034,67.88321168,92.72727273,81.01265823,95.40229885,MP
A,A,88.88,94.42,2,X,B,79.45,13,56.60377358,77.07006369,72.12121212,68.09815951,34.42622951,49.7005988,58.65921788,57.22543353,41.07142857,74.10071942,42.06896552,69.34306569,38.18181818,63.29113924,28.73563218,BP
A,A,80.7,89.7,2,X,L,73.48,12,56.60377358,68.15286624,69.6969697,73.00613497,49.18032787,62.8742515,45.25139665,60.69364162,39.28571429,64.02877698,62.75862069,56.20437956,78.18181818,81.01265823,74.71264368,BP
A,B,66.4,74.44,2,X,L,68.83,13,50.94339623,73.24840764,68.48484848,63.19018405,49.18032787,58.08383234,64.24581006,53.75722543,33.92857143,58.27338129,39.31034483,62.04379562,83.63636364,70.88607595,90.8045977,MP
B,A,93.18,95.5,2,X,C,85.7,13,58.49056604,77.07006369,70.90909091,71.7791411,50.81967213,77.24550898,66.48044693,71.0982659,46.42857143,64.02877698,60,70.80291971,81.81818182,81.01265823,81.6091954,BP
A,A,78.6,88.58,2,X,B,77,12,32.0754717,65.60509554,58.78787879,57.05521472,44.26229508,60.47904192,64.24581006,57.22543353,53.57142857,84.17266187,48.96551724,76.64233577,72.72727273,63.29113924,79.31034483,BP
B,A,91.15,96.16,2,X,C,87.09,13,60.37735849,75.79617834,69.6969697,75.4601227,40.98360656,55.68862275,59.77653631,54.9132948,37.5,49.64028777,55.86206897,72.26277372,61.81818182,55.69620253,67.81609195,MP
A,C,90.4,90.5,2,X,B,78.73,13,28.30188679,61.78343949,57.57575758,54.60122699,39.3442623,62.8742515,57.54189944,53.75722543,39.28571429,75.53956835,42.06896552,60.58394161,47.27272727,40.50632911,49.42528736,NaN
B,A,85,91,2,X,C,80,12,26.41509434,56.68789809,57.57575758,59.50920245,26.2295082,49.7005988,50.83798883,52.60115607,21.42857143,43.88489209,51.72413793,51.82481752,63.63636364,73.41772152,60.91954023,BP
A,A,92.2,82.25,2,X,B,70.12,12,54.71698113,73.24840764,63.63636364,71.7791411,31.14754098,53.29341317,51.95530726,57.22543353,19.64285714,45.32374101,39.31034483,47.44525547,52.72727273,40.50632911,58.62068966,MP
B,A,90.2,88.66,2,X,B,76.61,12,30.18867925,49.04458599,51.51515152,68.09815951,47.54098361,50.89820359,65.36312849,53.75722543,46.42857143,74.10071942,62.75862069,56.20437956,47.27272727,68.35443038,37.93103448,MP
B,A,85.4,78.9,2,X,C,79.9,12,71.69811321,71.97452229,83.03030303,81.59509202,40.98360656,59.28143713,59.77653631,63.00578035,35.71428571,58.27338129,48.96551724,70.80291971,60,78.48101266,54.02298851,BP
A,A,84.55,90.08,2,X,B,74.69,13,60.37735849,87.2611465,79.39393939,61.96319018,42.62295082,53.29341317,63.12849162,58.38150289,55.35714286,79.85611511,57.24137931,69.34306569,52.72727273,78.48101266,40.22988506,BP
A,A,89.09,94.33,2,X,C,83.05,12,47.16981132,65.60509554,72.12121212,60.73619632,49.18032787,67.66467066,57.54189944,61.84971098,53.57142857,76.97841727,60,66.42335766,70.90909091,75.94936709,72.4137931,BP
A,A,93.2,93.25,3,X,B,83,12,62.26415094,73.24840764,58.78787879,79.14110429,36.06557377,59.28143713,66.48044693,60.69364162,48.21428571,61.15107914,62.75862069,70.80291971,60,73.41772152,54.02298851,BP
A,B,72,64.46,2,X,B,65.85,14,33.96226415,63.05732484,60,60.73619632,65.57377049,79.64071856,63.12849162,83.8150289,57.14285714,79.85611511,68.27586207,64.96350365,69.09090909,81.01265823,60.91954023,MP
B,A,92.6,96.92,2,X,B,77.35,12,41.50943396,83.43949045,74.54545455,53.37423313,49.18032787,67.66467066,59.77653631,65.31791908,44.64285714,65.4676259,64.13793103,60.58394161,80,96.20253165,74.71264368,BP
B,A,85,93,2,X,C,82,12,49.05660377,77.07006369,64.84848485,65.64417178,47.54098361,68.86227545,60.89385475,59.53757225,16.07142857,39.56834532,61.37931034,41.60583942,60,68.35443038,56.32183908,NaN
B,E,77.92,84.5,2,X,B,70,13,22.64150943,68.15286624,56.36363636,49.69325153,40.98360656,60.47904192,55.30726257,60.69364162,46.42857143,71.22302158,53.10344828,70.80291971,38.18181818,40.50632911,35.63218391,LP
B,A,89.2,92.8,2,X,C,85.5,13,45.28301887,70.70063694,72.12121212,60.73619632,36.06557377,58.08383234,55.30726257,60.69364162,23.21428571,42.44604317,53.10344828,54.74452555,NaN,70.88607595,54.02298851,MP
A,I,77,67,3,X,B,66.84,14,83.01886792,89.8089172,87.87878788,65.64417178,52.45901639,67.66467066,60.89385475,68.78612717,41.07142857,58.27338129,60,66.42335766,70.90909091,78.48101266,67.81609195,MP
B,A,86,85,3,X,K,77,14,100,91.08280255,96.36363636,74.23312883,34.42622951,58.08383234,49.72067039,65.31791908,50,68.34532374,66.89655172,64.96350365,89.09090909,83.5443038,90.8045977,BP
A,A,93.2,90.83,2,X,B,73.67,12,32.0754717,66.87898089,53.93939394,59.50920245,16.39344262,53.29341317,39.66480447,61.84971098,16.07142857,61.15107914,33.79310345,54.74452555,43.63636364,48.10126582,44.82758621,MP
A,A,75,87.42,2,X,D,82.6,13,69.81132075,66.87898089,83.03030303,81.59509202,36.06557377,56.88622754,54.18994413,51.44508671,30.35714286,59.71223022,40.68965517,54.74452555,65.45454545,58.2278481,70.11494253,LP
B,E,88.16,90.83,2,X,B,79.08,13,56.60377358,68.15286624,69.6969697,73.00613497,54.09836066,70.05988024,65.36312849,60.69364162,46.42857143,59.71223022,72.4137931,57.66423358,65.45454545,78.48101266,60.91954023,BP
A,D,88.8,77.4,2,X,L,72.9,13,73.58490566,84.7133758,81.81818182,81.59509202,52.45901639,74.8502994,57.54189944,67.6300578,48.21428571,72.6618705,66.89655172,54.74452555,87.27272727,81.01265823,90.8045977,BP
A,D,93.8,90.1,2,X,B,72,12,37.73584906,74.52229299,57.57575758,57.05521472,65.57377049,74.8502994,74.30167598,76.87861272,44.64285714,69.78417266,47.5862069,75.18248175,50.90909091,68.35443038,40.22988506,NaN
B,E,89.28,88.33,2,X,B,73,13,56.60377358,73.24840764,73.33333333,69.32515337,50.81967213,68.86227545,66.48044693,67.6300578,46.42857143,81.29496403,42.06896552,63.50364964,58.18181818,88.60759494,44.82758621,MP
B,E,78.08,63.33,2,X,E,68.42,13,32.0754717,61.78343949,67.27272727,50.9202454,11.47540984,54.49101796,36.31284916,58.38150289,25,64.02877698,58.62068966,53.28467153,54.54545455,60.75949367,51.72413793,LP
A,E,76.48,73,2,X,B,63.04,13,30.18867925,42.67515924,63.63636364,64.41717791,27.86885246,41.31736527,65.36312849,63.00578035,35.71428571,59.71223022,58.62068966,50.3649635,52.72727273,60.75949367,56.32183908,MP
A,D,85,79.75,2,X,B,78,14,77.35849057,78.34394904,81.81818182,88.95705521,50.81967213,70.05988024,59.77653631,53.75722543,39.28571429,81.29496403,47.5862069,54.74452555,54.54545455,58.2278481,51.72413793,BP
A,D,88,76.2,2,X,B,63.94,12,71.69811321,92.3566879,60,79.14110429,NaN,67.66467066,44.13407821,57.22543353,57.14285714,71.22302158,58.62068966,79.5620438,76.36363636,73.41772152,81.6091954,BP
B,D,84.4,77,2,X,B,74,13,33.96226415,64.33121019,61.21212121,55.82822086,42.62295082,58.08383234,56.42458101,65.31791908,50,66.90647482,68.27586207,60.58394161,67.27272727,88.60759494,56.32183908,BP
A,D,95,89.8,2,X,K,78.71,13,58.49056604,75.79617834,61.21212121,75.4601227,49.18032787,66.46706587,56.42458101,61.84971098,39.28571429,56.83453237,47.5862069,85.40145985,74.54545455,81.01265823,72.4137931,BP
A,J,84,77,2,X,B,71,13,45.28301887,57.96178344,68.48484848,68.09815951,45.90163934,60.47904192,49.72067039,65.31791908,51.78571429,59.71223022,62.75862069,83.94160584,58.18181818,50.63291139,60.91954023,BP
A,J,76.2,68,2,X,B,69.02,13,49.05660377,65.60509554,64.84848485,68.09815951,65.57377049,76.04790419,74.30167598,76.87861272,53.57142857,72.6618705,54.48275862,85.40145985,67.27272727,86.07594937,58.62068966,BP
A,D,91,94.33,2,X,B,70.24,12,54.71698113,77.07006369,72.12121212,58.28220859,42.62295082,60.47904192,69.83240223,56.06936416,37.5,71.22302158,51.72413793,51.82481752,81.81818182,88.60759494,77.01149425,BP
A,D,88.83,90.5,2,X,B,77.2,13,62.26415094,78.34394904,72.12121212,71.7791411,62.29508197,68.86227545,70.94972067,75.72254335,58.92857143,84.17266187,57.24137931,73.72262774,65.45454545,81.01265823,58.62068966,BP
A,E,82.4,69,2,X,B,65.08,13,43.39622642,70.70063694,63.63636364,61.96319018,52.45901639,56.88622754,67.59776536,57.22543353,44.64285714,65.4676259,58.62068966,63.50364964,36.36363636,63.29113924,24.13793103,MP
B,K,85.2,84.6,2,X,B,89.8,13,39.62264151,61.78343949,67.27272727,61.96319018,45.90163934,66.46706587,72.06703911,64.16184971,37.5,66.90647482,53.10344828,51.82481752,70.90909091,86.07594937,60.91954023,BP
A,E,81.44,74.5,2,X,B,61.58,13,43.39622642,69.42675159,61.21212121,61.96319018,22.95081967,46.10778443,46.36871508,53.75722543,10.71428571,41.00719424,44.82758621,41.60583942,29.09090909,50.63291139,21.83908046,LP
A,E,69.44,68.69,3,X,B,65.19,13,24.52830189,60.50955414,66.06060606,46.01226994,34.42622951,52.09580838,53.0726257,64.16184971,41.07142857,71.22302158,62.75862069,51.82481752,52.72727273,58.2278481,51.72413793,MP
B,D,91.33,83.4,2,X,K,78.35,13,71.69811321,89.8089172,81.81818182,65.64417178,62.29508197,76.04790419,73.18435754,58.38150289,44.64285714,76.97841727,55.86206897,56.20437956,76.36363636,73.41772152,79.31034483,BP
A,E,76.8,73.66,2,X,L,63.22,12,49.05660377,68.15286624,49.09090909,76.68711656,18.03278689,53.29341317,47.48603352,53.75722543,25,42.44604317,48.96551724,79.5620438,61.81818182,58.2278481,63.2183908,LP
A,D,95.17,94.33,2,X,L,71.2,13,49.05660377,88.53503185,63.63636364,64.41717791,77.04918033,76.04790419,81.00558659,86.12716763,44.64285714,65.4676259,48.96551724,70.80291971,81.81818182,88.60759494,74.71264368,BP
B,D,89.3,76.8,2,X,B,75.1,13,58.49056604,85.98726115,60,73.00613497,59.01639344,60.47904192,74.30167598,50.28901734,39.28571429,66.90647482,37.93103448,69.34306569,80,81.01265823,79.31034483,MP
A,E,77.28,71.5,2,X,B,69.1,13,30.18867925,64.33121019,55.15151515,61.96319018,18.03278689,52.09580838,47.48603352,54.9132948,32.14285714,64.02877698,44.82758621,54.74452555,40,60.75949367,28.73563218,BP
A,J,69.8,65.6,2,X,B,69.81,12,47.16981132,63.05732484,58.78787879,71.7791411,59.01639344,71.25748503,67.59776536,75.72254335,48.21428571,55.39568345,72.4137931,72.26277372,65.45454545,55.69620253,67.81609195,BP
B,K,85.33,86,2,X,B,72.8,14,24.52830189,61.78343949,49.09090909,59.50920245,47.54098361,66.46706587,58.65921788,63.00578035,64.28571429,85.61151079,64.13793103,78.10218978,80,78.48101266,77.01149425,BP
A,B,80.8,84.88,2,X,B,73.11,13,49.05660377,64.33121019,63.63636364,69.32515337,50.81967213,67.66467066,65.36312849,53.75722543,51.78571429,68.34532374,64.13793103,69.34306569,52.72727273,68.35443038,47.12643678,BP
A,B,76,82.67,2,X,B,72.27,13,45.28301887,64.33121019,53.93939394,73.00613497,39.3442623,65.26946108,58.65921788,54.9132948,58.92857143,82.73381295,55.86206897,73.72262774,63.63636364,75.94936709,67.81609195,BP
A,D,94.16,84.5,2,X,B,69.46,13,41.50943396,79.61783439,58.78787879,58.28220859,45.90163934,64.07185629,57.54189944,57.22543353,35.71428571,61.15107914,40.68965517,69.34306569,34.54545455,63.29113924,21.83908046,BP
B,D,94.83,95.33,2,X,B,85,13,73.58490566,88.53503185,80.60606061,86.50306748,63.93442623,84.43113772,83.24022346,81.50289017,53.57142857,76.97841727,66.89655172,62.04379562,85.45454545,68.35443038,90.8045977,BP
A,M,88.6,75.2,2,X,B,68.2,12,75.47169811,66.87898089,75.75757576,86.50306748,40.98360656,65.26946108,58.65921788,66.47398844,57.14285714,74.10071942,54.48275862,81.02189781,89.09090909,75.94936709,95.40229885,BP
B,N,78.53,72.17,2,X,B,63.03,13,50.94339623,68.15286624,63.63636364,70.55214724,9.836065574,38.92215569,41.89944134,59.53757225,26.78571429,53.95683453,44.82758621,48.90510949,36.36363636,63.29113924,26.43678161,LP
A,D,94.33,90.67,2,X,H,70.03,13,67.9245283,83.43949045,75.75757576,82.82208589,45.90163934,58.08383234,60.89385475,65.31791908,51.78571429,64.02877698,72.4137931,64.96350365,76.36363636,86.07594937,67.81609195,BP
A,E,91.86,91.16,2,X,B,78.92,13,41.50943396,56.68789809,72.12121212,63.19018405,60.6557377,78.44311377,81.00558659,75.72254335,48.21428571,84.17266187,50.34482759,57.66423358,58.18181818,86.07594937,47.12643678,BP
B,E,88.13,79.5,3,X,B,71.88,13,24.52830189,52.86624204,56.36363636,57.05521472,22.95081967,47.30538922,46.36871508,61.84971098,44.64285714,65.4676259,57.24137931,66.42335766,30.90909091,48.10126582,21.83908046,BP
A,E,95.68,88.5,2,X,B,80.2,13,35.8490566,50.31847134,63.63636364,63.19018405,49.18032787,68.86227545,62.01117318,52.60115607,46.42857143,71.22302158,55.86206897,62.04379562,56.36363636,68.35443038,51.72413793,MP
A,D,91.67,90.67,2,X,B,70.43,13,41.50943396,77.07006369,74.54545455,48.46625767,59.01639344,67.66467066,68.7150838,66.47398844,41.07142857,74.10071942,51.72413793,57.66423358,76.36363636,81.01265823,72.4137931,BP
B,E,87.04,82.83,2,X,B,72.3,13,28.30188679,54.14012739,60,58.28220859,11.47540984,46.10778443,49.72067039,47.97687861,42.85714286,59.71223022,66.89655172,72.26277372,63.63636364,70.88607595,60.91954023,BP
B,E,85.76,85.67,2,X,I,75.07,13,37.73584906,65.60509554,62.42424242,57.05521472,36.06557377,56.88622754,54.18994413,59.53757225,32.14285714,45.32374101,69.65517241,60.58394161,69.09090909,63.29113924,72.4137931,BP
B,E,83.52,70.5,2,X,I,72.81,13,45.28301887,68.15286624,61.21212121,65.64417178,42.62295082,61.67664671,51.95530726,65.31791908,30.35714286,51.07913669,53.10344828,62.04379562,43.63636364,73.41772152,31.03448276,MP
B,O,82.8,73,2,X,B,62.88,13,56.60377358,96.17834395,62.42424242,71.7791411,21.31147541,58.08383234,49.72067039,54.9132948,28.57142857,52.51798561,43.44827586,57.66423358,65.45454545,60.75949367,65.51724138,MP
A,J,84.8,75,2,X,B,74.68,13,67.9245283,74.52229299,87.87878788,53.37423313,62.29508197,76.04790419,54.18994413,58.38150289,76.78571429,91.36690647,71.03448276,85.40145985,72.72727273,63.29113924,77.01149425,BP
B,E,91.2,84.33,2,X,B,61.96,13,49.05660377,71.97452229,56.36363636,74.23312883,31.14754098,53.29341317,63.12849162,50.28901734,26.78571429,48.20143885,42.06896552,72.26277372,76.36363636,73.41772152,79.31034483,LP
A,J,79.65,75.17,2,X,L,70.5,14,37.73584906,65.60509554,66.06060606,57.05521472,49.18032787,72.45508982,51.95530726,52.60115607,30.35714286,68.34532374,36.55172414,50.3649635,81.81818182,83.5443038,81.6091954,BP
A,D,96.5,94.33,2,X,K,82.65,14,28.30188679,59.23566879,0,0,50.81967213,0,0,0,41.07142857,0,0,0,NaN,65.82278481,74.71264368,BP
A,H,73.2,69.6,2,X,K,77.23,14,60.37735849,60.50955414,74.54545455,76.68711656,47.54098361,66.46706587,58.65921788,71.0982659,46.42857143,66.90647482,58.62068966,72.26277372,69.09090909,88.60759494,70.11494253,BP
A,D,88.4,79.6,2,X,B,71.65,13,66.03773585,66.87898089,58.78787879,84.04907975,NaN,77.24550898,73.18435754,57.22543353,73.21428571,85.61151079,65.51724138,88.32116788,83.63636364,63.29113924,93.10344828,BP
A,J,89.4,81.6,2,X,B,74.45,13,71.69811321,77.07006369,79.39393939,84.04907975,59.01639344,71.25748503,72.06703911,58.38150289,42.85714286,56.83453237,58.62068966,72.26277372,67.27272727,70.88607595,72.4137931,BP
A,D,88.6,85.8,2,X,B,76.07,13,66.03773585,60.50955414,79.39393939,76.68711656,32.78688525,64.07185629,60.89385475,63.00578035,58.92857143,64.02877698,65.51724138,83.94160584,78.18181818,73.41772152,81.6091954,BP
A,J,75.4,76.67,2,X,B,68.44,12,35.8490566,63.05732484,58.78787879,60.73619632,73.7704918,80.83832335,72.06703911,86.12716763,48.21428571,61.15107914,62.75862069,70.80291971,87.27272727,91.13924051,83.90804598,BP
A,J,80,81.6,2,X,B,76.05,13,64.1509434,74.52229299,69.6969697,80.36809816,63.93442623,82.03592814,83.24022346,84.97109827,67.85714286,69.78417266,73.79310345,89.7810219,78.18181818,91.13924051,67.81609195,BP
A,B,70.6,82.4,2,X,B,80.98,13,39.62264151,69.42675159,66.06060606,58.28220859,62.29508197,73.65269461,59.77653631,83.8150289,58.92857143,82.73381295,71.03448276,59.12408759,85.45454545,88.60759494,81.6091954,BP
B,D,88.8,87.6,2,X,B,77.63,19,45.28301887,60.50955414,67.27272727,65.64417178,52.45901639,65.26946108,66.48044693,56.06936416,42.85714286,59.71223022,65.51724138,59.12408759,63.63636364,55.69620253,67.81609195,NaN
A,D,82.2,81.2,2,X,H,70.3,13,39.62264151,64.33121019,62.42424242,68.09815951,55.73770492,52.09580838,73.18435754,67.6300578,58.92857143,82.73381295,58.62068966,70.80291971,40,50.63291139,35.63218391,BP
B,D,94.33,85,2,X,E,82,13,83.01886792,80.89171975,87.87878788,69.32515337,47.54098361,60.47904192,64.24581006,66.47398844,55.35714286,72.6618705,61.37931034,75.18248175,89.09090909,83.5443038,86.20689655,BP
A,J,93,81.8,2,X,B,80.7,13,58.49056604,74.52229299,56.36363636,81.59509202,60.6557377,74.8502994,73.18435754,65.31791908,53.57142857,85.61151079,55.86206897,67.88321168,85.45454545,83.5443038,86.20689655,BP
